CRPFilerid,is_scam
C00750182,0
C00412122,0
C00763847,0
C00402982,0
C00542720,0
C00676262,0
C00633156,0
C00749051,0
C00142786,0
C00528950,0
C00406447,0
C00012245,0
C00609388,1
C00639500,0
C00709576,0
C00541383,0
C00391219,0
C00427781,0
C00542217,0
C00627042,0
C00564187,0
C00127779,0
C00545194,0
C00684555,0
C00325076,0
C00363986,0
C00658815,0
C00379693,1
C00410126,0
C00422774,0
C00065870,0
C00686402,0
C00553883,0
C00300707,0
C00335091,0
C00688911,0
C00618777,0
C00350991,0
C00275909,0
C00565846,0
C00442020,0
C00388587,0
C00373217,0
C00329425,0
C00248716,1
C00406645,0
C00178012,0
C00368332,0
C00617712,0
C00427195,0
C00436022,0
C00693853,0
C00715953,0
C00370585,0
C00411173,0
C00730549,0
C00495440,0
C00650796,0
C00619965,0
C00436287,0
C00672139,0
C00265603,0
C00568840,0
C00739409,0
C00461723,0
C00433805,0
C00725911,0
C00405639,0
C00565689,0
C00630707,1
C00332221,0
C00040394,0
C00040329,0
C00702324,0
C00007542,0
C00685065,0
C00756254,0
C00024372,0
C00759696,0
C00341271,0
C00746271,0
C00198606,0
C00638957,0
C00482372,0
C00735183,0
C00698019,0
C00286807,0
C00570606,0
C00166892,0
C00748954,0
C00413567,0
C00103143,0
C00000422,0
C00702050,0
C00684159,0
C00719054,0
C00743989,0
C00603639,0
C00502914,0
C00731372,0
C00359588,0
C00623371,0
C00312785,0
C00093989,0
C00021972,0
C00454850,0
C00716423,0
C00610956,0
C00426809,0
C00748798,0
C00580043,0
C00760421,0
C00455659,0
C00352211,0
C00340455,0
C00419986,0
C00578443,0
C00470765,0
C00398222,0
C00750901,0
C00675793,0
C00683854,0
C00014092,0
C00287714,0
C00752410,0
C00323659,0
C00749010,0
C00345942,0
C00525543,0
C00679191,1
C00739557,0
C00014878,0
C00658443,0
C00679985,0
C00689067,0
C00160937,0
C00699256,0
C00659219,0
C00521013,0
C00393728,0
C00683565,0
C00499020,0
C00397893,0
C00684985,0
C00753202,0
C00582999,0
C00672576,0
C00692020,0
C00500256,0
C00751990,0
C00731109,0
C00695270,0
C00210526,0
C00632091,0
C00744268,0
C00444539,0
C00672790,0
C00414235,0
C00759969,0
C00748509,0
C00379784,0
C00742809,0
C00490524,0
C00330696,0
C00567560,0
C00279802,0
C00202804,0
C00745299,0
C00421735,0
C00742080,0
C00691170,0
C00193177,0
C00690776,0
C00282566,0
C00572040,0
C00760603,0
C00725804,0
C00692806,0
C00686816,0
C00692202,0
C00718296,0
C00681106,0
C00668921,0
C00449512,0
C00705434,0
C00728907,0
C00687939,0
C00622464,0
C00679373,0
C00709485,0
C00510248,0
C00484162,0
C00510016,0
C00758730,0
C00712075,0
C00688382,0
C00597062,0
C00003863,0
C00362624,0
C00752543,0
C00752576,0
C00406876,0
C00009357,0
C00486613,0
C00743443,0
C00562785,0
C00700203,0
C00060087,0
C00190991,0
C00698951,0
C00701268,0
C00148098,0
C00567412,0
C00436188,0
C00000547,0
C00708487,0
C00674267,0
C00043463,0
C00194746,0
C00541128,0
C00040998,0
C00705137,0
C00162818,1
C00015933,0
C00641084,0
C00324673,0
C00208249,0
C00648808,0
C00153031,0
C00578914,0
C00549725,0
C00692970,0
C00381806,0
C00006080,0
C00412841,0
C00710764,0
C00134676,0
C00543710,0
C00573444,0
C00491118,0
C00541078,0
C00254490,0
C00557561,0
C00663831,0
C00483883,0
C00613810,0
C00573006,0
C00178418,0
C00745604,0
C00548081,0
C00571778,0
C00089458,0
C00010033,1
C00508309,0
C00101204,0
C00521211,0
C00080135,0
C00753004,0
C00564369,0
C00671677,0
C00674952,0
C00571943,0
C00203497,0
C00554535,0
C00340224,0
C00693390,0
C00421982,0
C00477737,0
C00217323,0
C00007450,0
C00692111,0
C00622472,0
C00172775,0
C00000729,0
C00689836,0
C00755157,0
C00114702,0
C00001743,0
C00688598,0
C00039552,0
C00688069,0
C00279331,0
C00752964,0
C00687574,0
C00431312,0
C00756882,1
C00564401,0
C00221077,0
C00514224,0
C00685719,0
C00378661,0
C00384883,0
C00411900,0
C00005173,1
C00098061,1
C00695254,0
C00473082,0
C00715904,0
C00406892,0
C00362327,0
C00726281,0
C00701011,0
C00163253,0
C00425686,0
C00450320,0
C00721969,0
C00690735,0
C00488320,0
C00376590,0
C00687871,0
C00457093,0
C00540450,0
C00736751,0
C00742445,0
C00715326,0
C00761171,0
C00500330,0
C00548818,0
C00318311,0
C00716969,0
C00362707,0
C00630012,0
C00756429,0
C00692087,0
C00681833,0
C00694539,0
C00632109,0
C00425975,0
C00709709,0
C00431478,0
C00429233,0
C00172833,0
C00575993,0
C00229435,0
C00388504,0
C00700849,0
C00449645,0
C00559021,0
C00476697,0
C00628115,0
C00048579,0
C00546903,0
C00208991,1
C00341800,0
C00506907,0
C00346015,0
C00615492,0
C00448001,0
C00325639,0
C00544767,1
C00630632,0
C00012211,0
C00449298,0
C00226548,0
C00556431,0
C00415869,0
C00252684,0
C00025536,0
C00692384,0
C00747618,0
C00675058,0
C00654186,0
C00744334,0
C00754028,0
C00707240,0
C00674440,0
C00133389,0
C00076893,0
C00007880,1
C00577072,0
C00637959,0
C00715722,0
C00029348,0
C00437376,0
C00760819,0
C00298190,0
C00696088,0
C00390963,0
C00667022,0
C00710848,0
C00387894,0
C00759910,0
C00576801,0
C00005462,0
C00564815,0
C00725929,0
C00697326,0
C00692640,0
C00484964,0
C00528026,0
C00654475,0
C00655423,0
C00748723,0
C00430108,0
C00673715,0
C00719799,0
C00395947,0
C00737718,0
C00443739,0
C00008227,1
C00165324,0
C00623348,0
C00285593,0
C00635235,0
C00690784,0
C00457184,0
C00490730,1
C00389981,0
C00248658,0
C00279455,0
C00011114,1
C00682757,0
C00751792,0
C00589507,0
C00081414,0
C00427575,0
C00482182,0
C00187450,0
C00388934,0
C00703173,0
C00525402,0
C00698498,0
C00456871,0
C00544833,0
C00212803,0
C00408088,0
C00291914,0
C00691329,0
C00554055,0
C00626176,0
C00369058,0
C00125534,0
C00416693,0
C00716613,0
C00540146,0
